Country,Region,happinessVery,happinessQuite,artInactive,artActive,environmentInactive,environmentActive,unionInactive,unionActive,politicalInactive,politicalActive,professionalInactive,professionalActive,religiousInactive,religiousActive,sportInactive,sportActive,otherInactive,otherActive
Finland,Europe,29.5,62.5,9.2,9.4,7.7,1.6,39.9,11.9,10.6,3.3,10.6,2.3,61.3,17.5,14.1,21.5,1.2,1.4
France,Europe,36.3,53.8,7.1,11.3,8.4,6.3,5.4,5.8,3.3,2.6,4,6.3,5.6,4.3,7.8,22.7,0.3,1.9
Georgia,Asia,12.1,54,0.7,0.7,0.4,0.1,2.4,0.8,0.8,0.3,0.5,0.2,4.3,3.1,0.5,0.3,0,0.1
Germany,Europe,19.3,61.9,5.6,8.1,3.5,1.5,8.6,3.3,2.8,2.2,5.1,3.7,23.2,12.8,8.8,26.6,1.4,4
Ghana,Africa,50.1,28.4,16.5,22.6,16.3,9.8,14.1,7.7,35.6,15.3,11.4,7.6,20.1,72,21.5,18.3,null,null
Guatemala,North America,44,34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Hong Kong,Asia,6.9,76.7,0,4.8,0,2.2,0,3.8,0,0.8,0,2.8,null,null,0,4.4,0,2.2
Hungary,Europe,17.1,58.5,0.4,1.9,0.8,0.2,1.8,2.6,0.1,0.2,2,3.4,3.7,7.5,0.8,3.1,0.1,2.5
India,Asia,28.9,46.4,50.4,13.3,48.9,10.5,47.3,15.7,48.8,17.5,47.3,12.4,46.3,21.9,48.4,15.9,32.8,7.2
Indonesia,Asia,25.2,66.9,13,16.4,16.4,19.4,7.1,1.8,11.5,4.5,12.1,14.8,28.4,37.6,13,10.2,4.7,3.8
Iran,Asia,18.1,61.3,9.5,9.6,7.6,2.2,7.2,4.6,6.7,2,6.6,3.9,18.7,19.9,13,16.2,null,null
Iraq,Asia,6.2,46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Italy,Europe,18.4,71,6.8,9.8,6.3,1.4,10.8,3.3,6.9,3.4,9.6,6.9,13,9.1,11.4,17.1,0.8,2.6
Japan,Asia,28.4,58.9,5.4,9.7,2.2,2.3,7.1,2.4,4.4,2,7.9,5.2,7.4,4.3,8.7,17.5,5.8,10.7
Jordan,Asia,29.8,57.1,0,0.9,0,0.4,0,0.5,0,0.5,0,2.4,0,2.8,0,3.6,0,0.9
South Korea,Asia,12.9,74.5,15.2,7.4,5.9,1.6,7.6,2.2,6.4,1,7,1.6,26,17.4,20.8,13.8,2.2,1.2
Malaysia,Asia,36.5,58.3,11.8,9.7,6.7,3.5,10.2,4.9,18.8,4.7,6.2,3,17.9,15.6,16.8,14.3,0.2,0.2
Mali,Africa,39,43.6,19.5,14.8,14.3,22.3,19,11,17.9,16.9,18.4,13,26.2,36.6,21.8,19.5,0.1,0.4
Mexico,North America,58.3,32.4,10.1,13.8,6.9,6,7.1,7.5,9.4,9.6,6.9,9.7,26.9,41,12.4,19.4,1.2,1.5
Moldova,Europe,9.7,40.5,7.4,7.9,5.3,1.9,12.5,6.8,6.3,2.7,5.5,7,19.7,12.9,7.8,6.4,1,1
Morocco,Africa,24.6,56.2,3.6,3.6,1.4,0.5,5,2.8,1.9,0.8,3.9,2.2,3.2,1.4,3.6,8.8,0.9,0.2
Netherlands,Europe,41.8,52.1,5.9,19.9,11.4,3.9,13.4,7.5,3.6,4,6.4,5.7,15.6,13.7,6.5,36.6,0,1.9
New Zealand,Oceania,38.1,58.4,12.1,22.5,11.7,6.2,10.1,6.5,12.9,1.8,13.8,15.5,23.5,16.2,16.9,34,0,29.8
Norway,Europe,36.6,59.7,7.7,12.6,6,1.3,35.6,13.6,12.8,4.3,17.7,7.5,29.6,8.3,15,27.1,14,12.5
Peru,South America,27.9,39.5,2.4,12.1,1.5,5.5,1.9,4.4,2.6,4.7,1.6,6.3,12.4,25.2,2.6,15.3,0.3,2.3
Poland,Europe,21.3,66.4,7.9,4.6,5.9,1.6,8.8,4.4,6.2,1.1,6.5,2.6,10.2,12.9,9.7,4.2,5.4,3.3
Romania,Europe,7.3,48,0.7,1.1,0.5,0.2,2.8,3.8,1.3,2.5,0.5,1.2,4.4,5.3,1,1,0.2,0.3
Russia,Europe,10.5,55.2,5.8,4.1,4.2,0.4,13.5,3.3,4.5,0.8,5.6,1.6,8.5,2.6,6.9,5.8,null,null
Rwanda,Africa,11.9,73.5,10.3,5,12.1,6.5,10.2,12.3,14.4,11.1,10.5,14.5,33.1,52.8,15.1,11,null,null
Serbia,Europe,10.2,52,5.3,2.5,1.6,1.1,12.2,2.1,9.3,2.7,3.2,1.9,15.2,3.8,10.7,6.8,0.2,0.7
Vietnam,Asia,22.5,69,3.7,5.6,2.8,7.9,3.3,8.2,2.1,13.9,4.5,11.1,5.7,6,5.5,8.8,9.8,19.1
Slovenia,Europe,17.8,62,7.4,9.2,4.1,2.7,11.1,8.9,4.8,2.1,6.1,6.4,16.3,12.4,11.7,18.2,1.7,3.8
South Africa,Africa,42.7,35.1,16.3,10.8,15.9,3.9,15,4.7,28,7.2,13.7,4,31.2,51.1,21.3,14.2,0.8,0.3
Spain,Europe,13.6,78.4,3.6,5.7,3.6,1.1,4.8,2.7,3.6,1.1,3.3,3.3,12.1,9.1,4.5,9.9,0.2,0.6
Sweden,Europe,43,53.1,12.2,12.8,9.7,1,48.1,10.2,7.7,2.8,14.1,6.3,46.7,6.9,14.1,29.8,16.2,19.6
Switzerland,Europe,42,51.5,9.7,21.1,18.6,5.2,9.5,4.7,7.4,8.1,14,15.7,31.8,22.1,13.8,36.1,0.5,2.4
Thailand,Asia,40.2,52.2,12.6,10.5,9.8,10,10.5,7.7,10.2,6.5,11.8,11.2,16.8,19.4,13.8,12.1,3.3,5.5
Trinidad and Tobago,South America,51.7,35.1,13.8,17.3,11.1,5.5,13.3,7,13.5,3.9,10.1,7.9,32.8,42.8,16.3,18.7,5.4,1.4
Turkey,Asia,37.3,48.8,1.4,1.5,0.4,0.8,1.7,1.1,3,2.3,1.3,1.5,1.1,1.3,1.5,1.8,1.3,0.4
Ukraine,Europe,11.3,63.3,3.8,4,3,1,14.7,4.3,4.3,2.1,3.7,2.1,11.2,5.5,6.1,4.2,null,null
Egypt,Africa,9.6,73.5,0.7,0.8,0.7,0.5,0.8,0.5,2.4,2,8.2,2.7,0.7,0.9,3.5,1.8,0.3,0.5
United States,North America,34.4,58.8,11.7,14.9,9.8,6,9.2,7.6,31.6,16.1,12.2,11.9,28.3,37.6,12.7,15.2,3,3.3
Burkina Faso,Africa,24.1,55.6,5.9,4.5,5.8,4.4,5.3,3.2,10.4,6.1,5.8,5.1,23.7,23.8,7.2,7.8,0.4,1.1
Uruguay,South America,30.3,55.6,5,8.3,4.5,1.7,3.6,3.4,5.1,2.9,1.7,1.7,12.8,14.6,5.3,7.8,0.9,2.2
Zambia,Africa,17.7,33.9,19.5,20.6,14.4,6.4,16.2,5.8,23.3,16.1,16.3,12.1,32.4,62.1,26.5,20.8,null,null
Great Britain,Europe,50.7,42.7,8.7,21.5,9.9,5.9,9.2,9.8,7.9,3.2,8.9,14.3,17.3,19,11.3,29.8,0.1,0.8
